nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
CIV,DF,34-351,1990,13.8,2,0,0,10,6,0,4,16,10,0,0,0,39,10,13,43.5,FRA-Ligue 1,2024,misc
SEN,FW,25-019,2000,5.9,1,0,0,9,13,4,5,0,1,1,0,0,5,9,24,27.3,FRA-Ligue 1,2024,misc
HAI,DF,28-287,1996,18.8,2,0,0,30,14,1,45,24,29,0,0,0,68,26,19,57.8,FRA-Ligue 1,2024,misc
BEN,DF,31-082,1994,3.0,0,0,0,2,1,0,0,4,4,0,0,0,9,5,3,62.5,FRA-Ligue 1,2024,misc
FRA,DF,19-338,2005,14.6,2,0,0,7,10,0,0,8,12,0,1,0,37,16,12,57.1,FRA-Ligue 1,2024,misc
FRA,FW,24-358,2000,12.2,1,0,0,8,10,13,11,2,3,0,0,0,31,25,35,41.7,FRA-Ligue 1,2024,misc
ALG,FW,27-341,1997,18.7,1,0,0,20,43,7,75,13,14,3,0,0,91,6,17,26.1,FRA-Ligue 1,2024,misc
ALG,DF,35-066,1990,24.1,2,0,0,14,29,0,86,42,40,0,0,0,115,14,26,35.0,FRA-Ligue 1,2024,misc
ALG,MF,31-073,1994,19.9,1,0,0,18,32,1,3,35,38,0,0,0,90,8,21,27.6,FRA-Ligue 1,2024,misc
ALG,"MF,FW",25-145,1999,25.7,3,0,0,38,30,2,37,20,27,0,0,0,150,12,18,40.0,FRA-Ligue 1,2024,misc
SEN,FW,26-031,1999,10.0,0,0,0,15,27,9,2,2,3,1,0,0,30,23,34,40.4,FRA-Ligue 1,2024,misc
GAB,DF,21-235,2003,4.6,1,0,0,6,13,1,17,3,9,0,0,0,18,6,6,50.0,FRA-Ligue 1,2024,misc
CIV,MF,31-022,1994,21.0,7,0,0,46,23,1,2,33,34,0,0,0,97,37,22,62.7,FRA-Ligue 1,2024,misc
GAB,FW,30-043,1995,16.8,3,0,0,14,22,8,31,10,9,1,0,0,72,10,17,37.0,FRA-Ligue 1,2024,misc
FRA,DF,31-245,1993,28.0,1,0,0,9,12,1,11,27,29,0,1,0,93,34,23,59.6,FRA-Ligue 1,2024,misc
FRA,"FW,MF",20-107,2004,0.3,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,,FRA-Ligue 1,2024,misc
FRA,"DF,FW",24-299,2000,10.0,0,2,0,13,6,2,52,10,19,0,1,0,50,10,8,55.6,FRA-Ligue 1,2024,misc
FRA,FW,32-112,1992,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,FRA-Ligue 1,2024,misc
FRA,"DF,MF",18-100,2007,0.5,0,0,0,1,1,0,3,0,0,0,1,0,3,1,1,50.0,FRA-Ligue 1,2024,misc
FRA,MF,37-361,1987,5.4,4,0,0,12,3,1,10,11,17,0,0,0,28,3,5,37.5,FRA-Ligue 1,2024,misc
FRA,FW,18-117,2006,3.6,0,0,0,4,8,5,4,0,5,0,0,0,10,3,16,15.8,FRA-Ligue 1,2024,misc
CIV,GK,24-233,2000,28.0,4,0,0,0,8,0,0,1,0,0,0,0,33,5,3,62.5,FRA-Ligue 1,2024,misc
FRA,MF,23-056,2002,12.1,2,0,0,17,13,1,12,16,22,0,0,0,58,3,12,20.0,FRA-Ligue 1,2024,misc
ALG,"FW,MF",32-041,1993,7.9,1,0,0,10,13,2,52,8,4,0,0,0,40,14,13,51.9,FRA-Ligue 1,2024,misc
FRA,MF,25-087,2000,1.1,1,0,0,5,1,0,0,0,2,0,0,0,3,1,2,33.3,FRA-Ligue 1,2024,misc
JPN,"MF,FW",29-154,1995,7.9,0,1,0,5,12,2,5,2,5,0,0,0,35,27,23,54.0,FRA-Ligue 1,2024,misc
CIV,MF,19-301,2005,0.2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,,FRA-Ligue 1,2024,misc
SEN,MF,27-203,1997,3.4,1,0,0,10,6,0,1,8,3,0,0,0,20,0,2,0.0,FRA-Ligue 1,2024,misc
FRA,MF,19-221,2005,0.1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,FRA-Ligue 1,2024,misc
CIV,DF,23-138,2001,22.4,6,0,0,10,24,0,23,33,33,0,1,0,105,32,26,55.2,FRA-Ligue 1,2024,misc
GUF,GK,32-159,1992,26.0,2,0,0,0,4,0,0,0,0,0,0,0,28,6,1,85.7,FRA-Ligue 1,2024,misc
GHA,MF,27-155,1997,24.3,7,0,0,48,21,0,8,41,39,0,1,1,150,16,26,38.1,FRA-Ligue 1,2024,misc
NED,DF,24-065,2001,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,FRA-Ligue 1,2024,misc
FRA,"FW,MF",28-082,1997,5.2,0,0,0,8,6,3,2,4,2,0,0,0,13,12,32,27.3,FRA-Ligue 1,2024,misc
NOR,DF,22-247,2002,1.7,0,0,0,2,3,1,5,1,3,0,0,0,10,2,5,28.6,FRA-Ligue 1,2024,misc
NGA,DF,26-240,1998,17.4,1,1,0,11,10,0,3,12,14,0,0,0,51,19,9,67.9,FRA-Ligue 1,2024,misc
