nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
GER,"MF,FW",21,2002,16.4,3,1,0,35,28,2,16,9,13,0,0,0,103,21,31,40.4,GER-Bundesliga,2023,misc
AUT,FW,29,1994,18.7,2,0,0,16,19,6,11,9,12,0,0,0,62,91,93,49.5,GER-Bundesliga,2023,misc
GER,MF,33,1990,25.9,10,1,0,29,31,0,2,31,40,0,0,0,152,49,48,50.5,GER-Bundesliga,2023,misc
GER,GK,21,2002,34.0,0,0,0,0,3,0,0,0,0,0,0,0,62,7,0,100.0,GER-Bundesliga,2023,misc
GER,"DF,FW",21,2001,8.4,1,0,0,8,31,2,52,8,4,2,0,0,37,3,10,23.1,GER-Bundesliga,2023,misc
AUT,DF,27,1996,14.1,3,0,0,12,6,1,4,14,13,0,1,0,77,33,14,70.2,GER-Bundesliga,2023,misc
JPN,"DF,MF",25,1998,25.0,2,0,0,26,35,2,61,9,27,1,0,0,97,21,28,42.9,GER-Bundesliga,2023,misc
HUN,"MF,FW",26,1997,20.4,6,0,0,41,42,11,73,6,10,1,0,0,71,29,46,38.7,GER-Bundesliga,2023,misc
ITA,"MF,FW",30,1993,25.8,3,0,0,13,16,6,173,15,20,1,1,0,130,12,20,37.5,GER-Bundesliga,2023,misc
GER,"DF,MF",23,2000,10.2,0,0,0,12,6,0,2,12,15,0,0,0,52,23,17,57.5,GER-Bundesliga,2023,misc
FRA,"FW,MF",30,1993,21.3,1,0,0,15,29,6,44,2,7,1,0,0,72,15,27,35.7,GER-Bundesliga,2023,misc
GER,MF,32,1991,2.8,4,0,0,6,3,0,3,4,5,0,0,0,20,7,7,50.0,GER-Bundesliga,2023,misc
ITA,DF,18,2005,1.7,0,0,0,1,0,0,1,3,5,0,1,0,4,5,3,62.5,GER-Bundesliga,2023,misc
GER,MF,26,1997,13.6,4,0,0,9,18,0,10,14,12,0,0,0,70,7,7,50.0,GER-Bundesliga,2023,misc
FRA,"DF,FW",26,1996,26.1,1,0,0,9,14,6,236,9,13,0,0,0,138,17,19,47.2,GER-Bundesliga,2023,misc
ARM,"MF,FW",20,2003,0.5,0,0,0,0,0,1,1,0,0,0,0,0,5,1,5,16.7,GER-Bundesliga,2023,misc
USA,DF,20,2002,24.8,4,0,0,16,46,1,46,18,28,0,0,0,92,22,32,40.7,GER-Bundesliga,2023,misc
SUI,GK,29,1994,7.0,1,0,0,0,2,0,0,0,0,0,0,0,16,3,0,100.0,GER-Bundesliga,2023,misc
USA,FW,27,1996,15.8,2,0,0,35,30,7,0,5,4,1,0,0,35,47,45,51.1,GER-Bundesliga,2023,misc
GER,MF,27,1995,30.7,10,0,0,33,30,0,3,48,40,0,0,0,168,25,19,56.8,GER-Bundesliga,2023,misc
JPN,"DF,MF",26,1997,17.7,9,0,0,28,4,0,5,22,21,0,0,0,78,38,30,55.9,GER-Bundesliga,2023,misc
GER,DF,20,2003,24.7,2,0,0,26,16,1,74,22,22,0,2,0,130,37,29,56.1,GER-Bundesliga,2023,misc
GER,"DF,FW",19,2004,0.5,0,0,0,0,1,0,5,0,0,0,0,0,3,0,2,0.0,GER-Bundesliga,2023,misc
FRA,MF,22,2001,17.3,4,1,0,28,35,3,3,15,26,1,1,0,111,21,24,46.7,GER-Bundesliga,2023,misc
GER,DF,27,1995,17.4,1,0,0,10,10,0,2,17,15,0,0,0,68,37,19,66.1,GER-Bundesliga,2023,misc
AUT,DF,25,1998,23.0,4,1,1,27,3,5,21,38,31,0,0,0,147,47,32,59.5,GER-Bundesliga,2023,misc
GER,GK,25,1997,27.0,2,0,0,1,2,0,0,0,0,0,1,0,35,10,0,100.0,GER-Bundesliga,2023,misc
CMR,"FW,MF",23,2000,15.4,1,0,0,13,18,6,28,5,22,0,1,0,62,9,34,20.9,GER-Bundesliga,2023,misc
SUI,DF,26,1996,27.6,5,0,0,13,18,1,3,43,18,0,0,0,137,72,46,61.0,GER-Bundesliga,2023,misc
GER,"FW,DF",32,1991,1.0,1,0,0,3,2,0,5,1,4,0,0,0,6,1,1,50.0,GER-Bundesliga,2023,misc
GER,"FW,MF",24,1998,15.0,2,0,0,17,22,9,44,14,8,0,0,0,79,16,22,42.1,GER-Bundesliga,2023,misc
GER,MF,21,2002,23.7,2,0,0,26,45,2,15,44,36,0,0,0,171,13,26,33.3,GER-Bundesliga,2023,misc
JPN,"FW,MF",19,2004,0.4,0,0,0,1,0,0,0,1,0,0,0,0,2,3,4,42.9,GER-Bundesliga,2023,misc
AUT,"DF,MF",30,1992,8.3,2,0,0,8,7,1,19,5,16,0,0,0,33,7,12,36.8,GER-Bundesliga,2023,misc
CZE,FW,22,2000,10.0,4,0,0,9,13,4,3,2,3,0,0,0,16,23,30,43.4,GER-Bundesliga,2023,misc
GER,"DF,MF",33,1990,0.3,0,0,0,1,2,0,0,1,1,0,0,0,1,2,2,50.0,GER-Bundesliga,2023,misc
LUX,"MF,FW",19,2004,0.2,0,0,0,2,2,0,3,0,0,1,0,0,2,0,1,0.0,GER-Bundesliga,2023,misc
GER,"MF,FW",26,1997,10.8,1,0,0,14,10,2,6,4,13,0,0,0,76,18,26,40.9,GER-Bundesliga,2023,misc
GER,DF,26,1997,22.5,9,0,0,40,27,0,3,16,24,0,2,1,87,48,41,53.9,GER-Bundesliga,2023,misc
GER,MF,27,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,GER-Bundesliga,2023,misc
GER,"MF,FW",30,1992,5.0,0,0,0,6,2,0,2,4,6,0,0,0,29,18,16,52.9,GER-Bundesliga,2023,misc
GER,"FW,MF",21,2001,29.4,8,0,0,28,22,2,79,12,18,0,0,0,155,11,24,31.4,GER-Bundesliga,2023,misc
GER,"MF,FW",27,1995,3.6,2,0,0,6,7,1,32,2,4,0,0,0,29,5,5,50.0,GER-Bundesliga,2023,misc
GER,MF,24,1999,22.2,3,0,0,14,12,1,7,26,26,0,0,0,108,39,39,50.0,GER-Bundesliga,2023,misc
GER,"FW,MF",24,1999,28.9,4,0,0,28,51,4,279,18,49,1,0,0,133,8,20,28.6,GER-Bundesliga,2023,misc
GER,DF,27,1996,31.0,2,0,0,15,17,2,73,31,24,0,0,1,148,37,22,62.7,GER-Bundesliga,2023,misc
GER,GK,32,1991,34.0,1,0,0,1,2,0,0,0,0,0,1,0,33,4,1,80.0,GER-Bundesliga,2023,misc
GER,"MF,FW",23,2000,11.2,1,0,0,16,20,1,20,4,10,0,0,0,75,14,16,46.7,GER-Bundesliga,2023,misc
USA,MF,23,1999,25.4,1,0,0,44,15,0,4,25,26,0,2,1,132,67,49,57.8,GER-Bundesliga,2023,misc
GER,DF,28,1994,6.6,1,0,0,9,4,0,26,10,9,0,0,0,33,8,15,34.8,GER-Bundesliga,2023,misc
GER,"MF,FW",23,1999,16.8,5,0,0,38,30,6,7,12,12,0,0,0,80,60,56,51.7,GER-Bundesliga,2023,misc
AUT,"MF,FW",29,1994,7.3,0,1,0,10,24,0,8,1,9,0,0,0,43,6,25,19.4,GER-Bundesliga,2023,misc
GER,"MF,DF",36,1987,14.0,3,0,0,13,16,0,22,14,16,0,1,0,77,12,10,54.5,GER-Bundesliga,2023,misc
GER,DF,25,1998,27.5,5,0,0,30,31,1,73,40,33,0,1,0,155,15,19,44.1,GER-Bundesliga,2023,misc
GER,DF,28,1994,34.0,1,0,0,24,16,2,0,49,49,0,1,0,183,119,84,58.6,GER-Bundesliga,2023,misc
GER,"MF,FW",29,1994,1.7,0,0,0,1,1,0,2,1,1,0,0,0,4,9,14,39.1,GER-Bundesliga,2023,misc
GER,"MF,FW",23,1999,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,GER-Bundesliga,2023,misc
GER,FW,27,1995,31.9,6,0,0,88,13,16,19,12,12,0,0,0,100,179,117,60.5,GER-Bundesliga,2023,misc
GER,DF,23,2000,10.1,1,0,0,16,5,0,1,21,11,0,2,0,59,13,11,54.2,GER-Bundesliga,2023,misc
CRO,"MF,FW",32,1991,24.4,4,0,0,8,35,8,113,10,2,1,0,0,113,9,13,40.9,GER-Bundesliga,2023,misc
GER,MF,22,2001,0.9,0,0,0,0,1,0,3,0,0,0,0,0,1,2,0,100.0,GER-Bundesliga,2023,misc
GER,MF,24,1998,25.8,4,0,0,30,41,0,54,72,42,1,0,0,209,52,27,65.8,GER-Bundesliga,2023,misc
HUN,DF,25,1998,3.2,1,0,0,7,0,0,5,1,1,0,0,1,11,5,5,50.0,GER-Bundesliga,2023,misc
GER,"MF,FW",20,2003,0.5,0,0,0,3,6,0,1,0,3,0,0,0,7,1,1,50.0,GER-Bundesliga,2023,misc
CZE,DF,22,2000,5.5,1,0,0,3,1,0,24,3,11,0,0,0,29,5,3,62.5,GER-Bundesliga,2023,misc
GER,MF,25,1998,0.7,1,0,0,2,0,0,0,0,0,0,0,0,1,1,1,50.0,GER-Bundesliga,2023,misc
MLI,MF,27,1996,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,GER-Bundesliga,2023,misc
GER,MF,23,2000,6.7,1,0,0,6,7,0,7,1,9,0,0,0,49,5,9,35.7,GER-Bundesliga,2023,misc
AUT,"DF,MF",27,1995,25.5,8,0,0,27,24,0,17,52,28,0,0,0,171,34,31,52.3,GER-Bundesliga,2023,misc
GER,MF,28,1995,23.8,10,1,1,33,29,1,10,22,18,0,0,0,127,16,23,41.0,GER-Bundesliga,2023,misc
TOG,"FW,DF",29,1994,18.2,3,0,0,24,21,7,35,14,12,1,0,0,60,32,45,41.6,GER-Bundesliga,2023,misc
USA,DF,30,1993,17.1,6,1,0,16,13,1,3,27,15,0,0,0,95,45,21,68.2,GER-Bundesliga,2023,misc
GER,"FW,MF",25,1998,0.5,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,,GER-Bundesliga,2023,misc
GHA,DF,28,1995,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,GER-Bundesliga,2023,misc
NGA,DF,28,1995,12.2,7,0,0,15,14,0,4,18,18,0,1,0,60,25,21,54.3,GER-Bundesliga,2023,misc
GER,DF,31,1991,14.7,2,0,0,11,9,0,3,9,10,0,0,0,99,7,5,58.3,GER-Bundesliga,2023,misc
GER,"DF,FW",30,1993,15.0,3,1,1,13,17,4,73,10,11,0,1,0,85,24,31,43.6,GER-Bundesliga,2023,misc
GER,"DF,FW",,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,GER-Bundesliga,2023,misc
GER,"FW,MF",20,2002,26.9,0,0,0,21,32,13,38,9,12,2,0,0,62,20,40,33.3,GER-Bundesliga,2023,misc
GER,FW,25,1998,1.6,0,0,0,5,2,1,2,0,0,0,0,0,8,2,9,18.2,GER-Bundesliga,2023,misc
GER,GK,33,1990,34.0,1,0,0,1,6,0,0,0,1,0,1,0,102,4,1,80.0,GER-Bundesliga,2023,misc
TUR,DF,23,2000,25.4,11,1,1,31,9,0,3,46,35,0,1,0,96,68,47,59.1,GER-Bundesliga,2023,misc
CZE,"DF,FW",31,1992,26.8,7,0,0,17,12,1,101,23,19,0,0,0,65,62,64,49.2,GER-Bundesliga,2023,misc
DEN,"DF,FW",27,1996,14.0,2,0,0,15,20,1,70,10,16,0,0,0,71,13,9,59.1,GER-Bundesliga,2023,misc
FRA,DF,24,1999,7.0,3,1,1,12,2,0,7,8,10,0,1,0,46,12,9,57.1,GER-Bundesliga,2023,misc
GER,DF,18,2005,6.4,1,0,0,4,5,0,0,8,9,0,0,0,24,3,14,17.6,GER-Bundesliga,2023,misc
GER,"MF,FW",18,2005,2.0,0,0,0,1,1,2,11,1,4,0,0,0,11,1,1,50.0,GER-Bundesliga,2023,misc
GER,MF,18,2004,11.2,5,0,0,10,24,0,6,6,12,0,0,0,62,2,10,16.7,GER-Bundesliga,2023,misc
NED,FW,30,1992,22.0,4,0,0,23,34,13,4,6,6,0,0,0,47,65,75,46.4,GER-Bundesliga,2023,misc
GER,DF,28,1994,12.8,5,0,0,9,10,0,40,7,15,0,0,0,59,14,22,38.9,GER-Bundesliga,2023,misc
USA,"FW,MF",19,2004,2.0,0,0,0,1,0,0,1,0,1,0,0,0,4,1,6,14.3,GER-Bundesliga,2023,misc
GER,FW,28,1995,14.1,3,0,0,24,18,10,4,0,2,0,0,0,9,67,55,54.9,GER-Bundesliga,2023,misc
AUT,"MF,FW",25,1997,22.8,6,0,0,32,13,1,31,18,27,0,0,0,112,8,11,42.1,GER-Bundesliga,2023,misc
BIH,MF,22,2001,18.1,5,0,0,28,14,0,15,13,18,0,0,0,114,8,8,50.0,GER-Bundesliga,2023,misc
GER,DF,29,1993,6.3,0,0,0,7,4,1,23,3,5,0,0,0,30,11,11,50.0,GER-Bundesliga,2023,misc
GER,MF,21,2002,27.3,6,0,0,52,41,2,19,43,43,1,1,0,152,70,54,56.5,GER-Bundesliga,2023,misc
GER,"FW,MF",22,2001,14.2,4,0,0,21,23,3,39,8,4,1,1,0,57,18,28,39.1,GER-Bundesliga,2023,misc
GER,"FW,MF",24,1998,0.8,0,0,0,1,0,0,0,0,0,0,0,0,2,2,8,20.0,GER-Bundesliga,2023,misc
AUT,"MF,FW",30,1992,24.4,4,0,0,19,33,1,167,13,20,0,0,0,126,12,25,32.4,GER-Bundesliga,2023,misc
DEN,MF,22,2001,2.4,1,0,0,4,0,0,5,4,6,0,0,0,18,0,5,0.0,GER-Bundesliga,2023,misc
GER,"FW,DF",21,2002,17.5,4,1,0,27,27,6,42,8,18,0,0,0,75,20,27,42.6,GER-Bundesliga,2023,misc
GER,DF,25,1998,30.0,9,1,1,28,42,4,4,45,42,0,0,0,149,101,38,72.7,GER-Bundesliga,2023,misc
GER,"FW,MF",18,2004,1.9,0,0,0,2,4,0,18,0,0,0,0,0,8,0,2,0.0,GER-Bundesliga,2023,misc
KVX,DF,28,1994,11.9,0,0,0,7,8,1,92,10,11,0,0,0,56,9,21,30.0,GER-Bundesliga,2023,misc
GER,"FW,MF",24,1999,21.1,4,0,0,10,17,5,74,6,15,0,0,0,92,0,14,0.0,GER-Bundesliga,2023,misc
GER,DF,23,1999,7.1,1,0,0,4,0,0,1,7,9,0,0,0,24,10,7,58.8,GER-Bundesliga,2023,misc
GER,"MF,FW",27,1996,12.7,0,0,0,20,15,5,39,6,12,1,0,0,64,7,9,43.8,GER-Bundesliga,2023,misc
GER,"MF,FW",31,1991,4.1,2,0,0,9,12,0,31,1,4,0,0,0,24,3,3,50.0,GER-Bundesliga,2023,misc
GER,GK,28,1995,34.0,0,0,0,0,1,0,0,0,0,0,0,0,35,5,3,62.5,GER-Bundesliga,2023,misc
LUX,"MF,FW",22,2001,1.2,2,1,1,3,2,0,1,2,0,0,0,0,14,1,3,25.0,GER-Bundesliga,2023,misc
GER,"DF,FW",19,2004,19.5,4,0,0,19,21,0,61,22,39,0,0,0,104,23,27,46.0,GER-Bundesliga,2023,misc
DEN,"DF,FW",22,2000,18.4,2,1,1,22,13,3,58,20,22,0,1,0,95,16,19,45.7,GER-Bundesliga,2023,misc
ARM,"FW,MF",30,1993,8.9,2,0,0,18,13,8,4,5,9,1,0,0,30,14,37,27.5,GER-Bundesliga,2023,misc
GER,FW,25,1998,8.1,0,0,0,7,8,2,7,1,6,0,0,0,25,38,41,48.1,GER-Bundesliga,2023,misc
GER,DF,27,1996,30.9,6,0,0,44,25,1,3,63,47,1,0,0,211,99,49,66.9,GER-Bundesliga,2023,misc
CZE,"MF,FW",21,2002,5.1,1,0,0,8,7,1,0,2,4,0,0,0,20,8,10,44.4,GER-Bundesliga,2023,misc
MAR,"MF,FW",23,2000,10.0,5,0,0,14,28,7,23,6,7,0,0,0,36,21,22,48.8,GER-Bundesliga,2023,misc
BRA,DF,20,2003,2.0,0,0,0,2,0,0,7,0,3,0,0,0,10,2,3,40.0,GER-Bundesliga,2023,misc
ESP,FW,30,1993,2.8,0,0,0,2,3,1,1,1,0,0,0,0,5,4,6,40.0,GER-Bundesliga,2023,misc
BFA,DF,24,1999,23.2,4,0,0,25,4,1,5,24,25,0,0,0,175,40,38,51.3,GER-Bundesliga,2023,misc
ARG,MF,24,1998,20.3,6,0,0,16,55,0,6,29,34,0,0,0,163,8,8,50.0,GER-Bundesliga,2023,misc
GER,MF,20,2003,26.4,3,0,0,23,27,6,36,9,18,0,0,0,143,9,15,37.5,GER-Bundesliga,2023,misc
SUI,MF,30,1992,31.3,5,0,0,30,43,0,10,19,21,0,0,0,226,26,22,54.2,GER-Bundesliga,2023,misc
COL,"DF,MF",20,2003,0.5,0,0,0,2,1,0,1,0,3,0,0,0,4,1,1,50.0,GER-Bundesliga,2023,misc
NED,DF,22,2000,25.0,6,0,0,21,34,12,93,7,17,1,0,0,94,13,13,50.0,GER-Bundesliga,2023,misc
GER,MF,31,1992,24.5,3,0,0,14,19,13,126,8,14,2,0,0,77,2,8,20.0,GER-Bundesliga,2023,misc
GER,DF,27,1996,29.2,6,0,0,33,4,1,3,23,9,0,0,0,161,62,22,73.8,GER-Bundesliga,2023,misc
CRO,DF,23,2000,14.0,3,0,0,5,7,1,16,9,20,0,0,0,87,12,14,46.2,GER-Bundesliga,2023,misc
FIN,GK,33,1989,33.0,2,0,0,0,1,0,0,0,0,0,0,0,51,8,1,88.9,GER-Bundesliga,2023,misc
CZE,GK,23,2000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,GER-Bundesliga,2023,misc
GER,MF,26,1996,1.0,0,0,0,1,3,0,1,0,2,0,0,0,8,0,0,,GER-Bundesliga,2023,misc
NGA,"DF,MF",24,1999,9.1,2,0,0,11,18,4,27,3,8,2,0,0,30,5,9,35.7,GER-Bundesliga,2023,misc
BEL,MF,18,2005,0.2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,,GER-Bundesliga,2023,misc
CIV,DF,22,2001,20.1,3,0,0,17,7,0,2,27,20,0,0,0,132,23,17,57.5,GER-Bundesliga,2023,misc
CZE,FW,27,1996,11.8,1,0,0,11,13,5,1,1,4,1,0,0,24,24,21,53.3,GER-Bundesliga,2023,misc
ECU,DF,21,2002,16.5,2,0,0,16,11,0,8,13,22,0,0,0,78,36,27,57.1,GER-Bundesliga,2023,misc
GER,"MF,DF",28,1994,18.8,4,0,0,23,14,0,14,20,18,0,0,0,122,20,22,47.6,GER-Bundesliga,2023,misc
NGA,FW,22,2000,17.2,2,0,0,16,17,18,3,0,4,0,0,0,31,27,18,60.0,GER-Bundesliga,2023,misc
ESP,DF,27,1995,30.9,1,0,0,14,26,3,202,22,24,1,0,0,168,12,19,38.7,GER-Bundesliga,2023,misc
NOR,DF,26,1997,11.0,5,0,0,13,8,1,0,11,12,0,1,0,38,29,15,65.9,GER-Bundesliga,2023,misc
FRA,DF,26,1997,27.6,8,0,0,34,15,0,73,32,23,0,1,0,173,29,29,50.0,GER-Bundesliga,2023,misc
GER,MF,24,1998,1.9,0,0,0,2,4,0,2,2,0,0,0,0,13,12,9,57.1,GER-Bundesliga,2023,misc
NED,"MF,DF",28,1995,0.6,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,,GER-Bundesliga,2023,misc
MAR,"MF,FW",25,1998,3.6,2,0,0,15,3,0,13,2,5,0,0,0,18,11,14,44.0,GER-Bundesliga,2023,misc
GER,"MF,FW",19,2004,18.2,5,0,0,28,47,9,53,5,14,1,0,0,97,15,31,32.6,GER-Bundesliga,2023,misc
GER,GK,32,1991,4.0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,100.0,GER-Bundesliga,2023,misc
GER,DF,30,1993,9.2,1,0,0,7,4,0,40,16,9,0,1,0,60,10,20,33.3,GER-Bundesliga,2023,misc
GER,"FW,DF",22,2000,0.1,0,0,0,0,2,0,1,0,1,0,0,0,2,0,1,0.0,GER-Bundesliga,2023,misc
GER,"DF,MF",29,1994,24.3,15,1,1,48,26,0,22,43,42,0,0,0,134,42,41,50.6,GER-Bundesliga,2023,misc
SUI,DF,27,1996,14.3,4,0,0,10,8,2,53,22,16,0,0,0,88,19,19,50.0,GER-Bundesliga,2023,misc
GER,"FW,MF",23,2000,2.0,0,1,0,8,3,1,1,3,1,0,0,0,7,2,7,22.2,GER-Bundesliga,2023,misc
GER,"FW,MF",23,2000,17.1,2,0,0,19,36,3,33,3,8,0,0,0,65,13,73,15.1,GER-Bundesliga,2023,misc
FRA,DF,32,1990,4.5,1,0,0,5,2,0,0,13,10,0,0,0,29,7,6,53.8,GER-Bundesliga,2023,misc
AUT,"FW,MF",31,1992,16.6,1,0,0,31,44,15,21,2,8,0,0,0,40,33,65,33.7,GER-Bundesliga,2023,misc
LUX,MF,23,2000,29.0,8,0,0,58,52,3,5,36,40,0,0,0,144,39,63,38.2,GER-Bundesliga,2023,misc
KOR,"MF,FW",30,1992,23.5,6,0,0,19,27,9,17,27,20,2,0,0,95,33,64,34.0,GER-Bundesliga,2023,misc
FRA,FW,29,1994,15.1,4,0,0,28,15,5,3,4,2,0,0,0,49,78,91,46.2,GER-Bundesliga,2023,misc
GER,"MF,FW",25,1997,8.0,3,0,0,10,17,3,36,2,4,0,0,0,37,3,19,13.6,GER-Bundesliga,2023,misc
GER,MF,20,2002,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,75.0,GER-Bundesliga,2023,misc
GER,DF,25,1998,4.2,0,0,0,2,2,0,0,4,3,0,0,0,28,13,6,68.4,GER-Bundesliga,2023,misc
GER,"MF,DF",22,2001,2.9,1,0,0,6,1,0,2,4,4,0,0,0,16,4,7,36.4,GER-Bundesliga,2023,misc
GER,MF,26,1996,14.6,5,0,0,11,32,1,126,14,14,0,0,0,93,10,5,66.7,GER-Bundesliga,2023,misc
GER,"FW,MF",18,2005,1.4,0,0,0,0,0,0,0,1,1,0,0,0,6,3,12,20.0,GER-Bundesliga,2023,misc
AUT,DF,29,1994,22.2,4,1,0,34,13,3,86,17,15,1,0,0,88,18,18,50.0,GER-Bundesliga,2023,misc
GER,GK,28,1994,30.0,3,0,0,1,4,0,0,1,2,0,1,0,36,9,1,90.0,GER-Bundesliga,2023,misc
NED,DF,21,2001,31.5,9,0,0,31,18,0,2,43,23,0,0,1,176,171,78,68.7,GER-Bundesliga,2023,misc
SUI,DF,30,1993,13.8,4,0,0,10,3,3,35,16,10,0,0,0,61,19,32,37.3,GER-Bundesliga,2023,misc
GER,DF,31,1991,7.4,3,0,0,10,8,1,1,6,8,0,0,0,38,24,23,51.1,GER-Bundesliga,2023,misc
GER,MF,22,2001,15.0,5,0,0,31,16,0,7,17,33,0,0,0,148,15,11,57.7,GER-Bundesliga,2023,misc
MLI,MF,25,1998,17.0,5,0,0,14,15,2,4,21,27,1,0,0,96,34,18,65.4,GER-Bundesliga,2023,misc
GER,DF,26,1997,28.1,5,0,0,27,34,2,67,33,39,0,2,0,163,23,22,51.1,GER-Bundesliga,2023,misc
SVN,FW,20,2003,17.0,0,0,0,14,10,12,4,3,5,0,0,0,28,38,29,56.7,GER-Bundesliga,2023,misc
FRA,DF,20,2002,24.3,3,0,0,8,23,1,5,12,12,0,0,0,158,32,27,54.2,GER-Bundesliga,2023,misc
AUT,"MF,FW",23,1999,12.9,3,0,0,27,27,1,8,5,13,1,0,0,40,20,29,40.8,GER-Bundesliga,2023,misc
GER,"DF,MF",28,1994,0.5,0,0,0,2,0,0,5,2,1,0,0,0,3,2,1,66.7,GER-Bundesliga,2023,misc
ESP,MF,25,1998,16.1,0,0,0,15,17,1,21,13,18,0,0,0,75,11,19,36.7,GER-Bundesliga,2023,misc
GER,DF,25,1998,30.4,6,0,0,28,12,4,306,27,35,0,0,0,169,27,20,57.4,GER-Bundesliga,2023,misc
FRA,"DF,MF",18,2005,0.4,0,0,0,0,0,0,2,1,0,0,0,0,6,0,3,0.0,GER-Bundesliga,2023,misc
MKD,"MF,FW",23,1999,3.0,0,0,0,4,4,0,0,1,6,0,0,0,9,0,2,0.0,GER-Bundesliga,2023,misc
SWE,"MF,FW",31,1991,5.2,0,0,0,4,9,0,8,0,3,0,0,0,19,2,3,40.0,GER-Bundesliga,2023,misc
POR,MF,20,2002,1.8,0,0,0,0,3,0,6,0,1,0,0,0,12,2,3,40.0,GER-Bundesliga,2023,misc
GER,GK,32,1991,21.0,0,0,0,0,2,0,0,0,1,0,0,0,42,7,2,77.8,GER-Bundesliga,2023,misc
NOR,MF,16,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GER-Bundesliga,2023,misc
SVN,MF,32,1990,15.1,3,0,0,16,3,0,11,11,8,0,1,0,102,3,10,23.1,GER-Bundesliga,2023,misc
BEL,FW,23,2000,30.0,4,0,0,38,64,33,32,5,3,1,1,0,59,22,31,41.5,GER-Bundesliga,2023,misc
GER,DF,27,1996,16.0,3,0,0,11,5,1,8,13,10,0,0,0,81,16,32,33.3,GER-Bundesliga,2023,misc
FRA,DF,23,2000,23.8,8,0,0,35,25,3,18,29,29,1,1,0,113,60,36,62.5,GER-Bundesliga,2023,misc
AUT,MF,22,2001,8.0,1,0,0,5,1,0,4,8,18,0,0,1,50,6,8,42.9,GER-Bundesliga,2023,misc
GAM,FW,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GER-Bundesliga,2023,misc
HUN,GK,33,1990,13.0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,100.0,GER-Bundesliga,2023,misc
GER,"FW,MF",27,1996,2.3,0,0,0,2,0,0,4,1,1,0,0,0,7,0,2,0.0,GER-Bundesliga,2023,misc
HUN,DF,30,1992,17.6,2,0,0,16,10,0,1,16,12,0,0,0,87,54,28,65.9,GER-Bundesliga,2023,misc
AUT,MF,25,1997,27.5,7,0,0,34,25,2,14,19,50,0,0,0,203,23,18,56.1,GER-Bundesliga,2023,misc
NED,MF,20,2003,29.5,11,1,1,32,70,1,76,16,17,2,0,0,167,19,17,52.8,GER-Bundesliga,2023,misc
DEN,FW,29,1994,13.5,0,0,0,22,29,4,4,4,8,1,0,0,42,19,34,35.8,GER-Bundesliga,2023,misc
GER,GK,26,1996,30.0,1,0,0,0,4,0,0,0,2,0,0,1,65,8,1,88.9,GER-Bundesliga,2023,misc
GER,MF,22,2001,29.9,5,0,0,36,33,0,81,28,33,0,0,0,196,30,30,50.0,GER-Bundesliga,2023,misc
FRA,DF,22,2001,11.2,3,0,0,9,4,1,3,8,12,0,1,0,58,19,27,41.3,GER-Bundesliga,2023,misc
,MF,26,1996,29.1,9,0,0,28,61,0,4,27,44,0,0,0,174,44,38,53.7,GER-Bundesliga,2023,misc
CRO,"FW,DF",25,1998,0.5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,,GER-Bundesliga,2023,misc
GER,"FW,MF",25,1998,28.5,2,0,0,6,10,3,100,7,19,0,0,0,119,4,14,22.2,GER-Bundesliga,2023,misc
FRA,DF,24,1999,16.1,1,0,0,17,3,1,0,20,14,0,0,1,109,60,13,82.2,GER-Bundesliga,2023,misc
GER,"FW,MF",27,1996,23.2,5,0,0,29,27,3,7,6,13,2,0,0,71,17,33,34.0,GER-Bundesliga,2023,misc
FRA,"MF,FW",21,2002,24.9,5,0,0,36,35,4,38,16,22,1,0,0,135,7,30,18.9,GER-Bundesliga,2023,misc
GER,GK,28,1995,4.0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,GER-Bundesliga,2023,misc
JPN,MF,32,1991,0.3,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,,GER-Bundesliga,2023,misc
JPN,DF,24,1999,24.8,1,0,0,17,8,2,23,29,18,0,0,0,125,30,38,44.1,GER-Bundesliga,2023,misc
